Customer:,Dominion - Cove Point,,,,,,,,,,,,,
Exported parameters:,EcoNet Battery/Battery,YSI 6 Series/Temp,YSI 6 Series/Cond,YSI 6 Series/SpCond,YSI 6 Series/Resistivity,YSI 6 Series/TDS,YSI 6 Series/Salinity,YSI 6 Series/pH,YSI 6 Series/Depth,YSI 6 Series/Battery,YSI 6 Series/Turbidity+,YSI 6 Series/ODO%,YSI 6 Series/ODO Conc,
5/3/2017,2:00,12.204,22.35000038,,2.209000111,,,1.129999995,,1.449000001,12.60000038,,83.5,7.210000038
5/3/2017,2:15,12.24,22.30999947,,2.210999966,,,1.129999995,,1.449000001,12.60000038,,82.5,7.130000114
5/3/2017,2:30,12.228,22.20999908,,2.210999966,,,1.129999995,,1.449000001,12.5,,82.80000305,7.170000076
5/3/2017,2:45,12.228,22.11000061,,2.209000111,,,1.129999995,,1.447000027,12.5,,81,7.019999981
5/3/2017,3:00,12.216,22.02000046,,2.207999945,,,1.129999995,,1.447000027,12.5,,82.59999847,7.170000076
5/3/2017,3:15,12.204,21.93000031,,2.207999945,,,1.129999995,,1.447000027,12.5,,82.09999847,7.139999866
5/3/2017,3:30,12.18,21.84000015,,2.207000017,,,1.129999995,,1.444000006,12.5,,81,7.059999943
5/3/2017,3:45,12.204,21.70000076,,2.207999945,,,1.129999995,,1.445000052,12.5,,80.09999847,7
5/3/2017,4:00,12.192,21.54000092,,2.207000017,,,1.129999995,,1.444000006,12.5,,80,7.010000229
5/3/2017,4:15,12.192,21.44000053,,2.207999945,,,1.129999995,,1.442999959,12.5,,79.19999695,6.949999809
5/3/2017,4:30,12.192,21.20999908,,2.209000111,,,1.129999995,,1.440999985,12.5,,78.69999695,6.940000057
5/3/2017,4:45,12.18,21,,2.207000017,,,1.129999995,,1.442000031,12.5,,77.19999695,6.840000153
5/3/2017,5:00,12.18,20.84000015,,2.209000111,,,1.129999995,,1.442000031,12.5,,75.19999695,6.679999828
5/3/2017,5:15,12.204,20.69000053,,2.210000038,,,1.139999986,,1.440000057,12.5,,73.90000153,6.579999924
5/3/2017,5:30,12.408,20.39999962,,2.210999966,,,1.139999986,,1.440999985,12.69999981,,73.19999695,6.559999943
5/3/2017,5:45,12.84,20.12999916,,2.209000111,,,1.139999986,,1.440999985,13.19999981,,72.5,6.53000021
5/3/2017,6:00,13.104,19.92000008,,2.207999945,,,1.129999995,,1.437999964,13.39999962,,72.40000153,6.550000191
5/3/2017,6:15,13.308,19.73999977,,2.207000017,,,1.129999995,,1.43900001,13.69999981,,73.09999847,6.639999866
5/3/2017,6:30,14.136,19.78000069,,2.203999996,,,1.129999995,,1.440000057,14.5,,76.19999695,6.909999847
5/3/2017,6:45,14.124,19.80999947,,2.203999996,,,1.129999995,,1.440000057,14.60000038,,76.80000305,6.960000038
5/3/2017,7:00,14.112,19.73999977,,2.203000069,,,1.129999995,,1.440999985,14.5,,77.69999695,7.050000191
5/3/2017,7:15,14.1,19.70000076,,2.203000069,,,1.129999995,,1.43900001,14.5,,78.40000153,7.130000114
5/3/2017,7:30,14.088,19.68000031,,2.203000069,,,1.129999995,,1.442999959,14.60000038,,79.5,7.21999979
5/3/2017,7:45,14.076,19.68000031,,2.203000069,,,1.129999995,,1.440999985,14.5,,80.69999695,7.340000153
5/3/2017,8:00,14.076,19.67000008,,2.201999903,,,1.129999995,,1.43900001,14.5,,81.80000305,7.440000057
5/3/2017,8:15,14.076,19.65999985,,2.201999903,,,1.129999995,,1.442999959,14.5,,82.30000305,7.489999771
5/3/2017,8:30,14.052,19.70000076,,2.201999903,,,1.129999995,,1.440999985,14.5,,82.90000153,7.539999962
5/3/2017,8:45,14.052,19.79999924,,2.201999903,,,1.129999995,,1.43599999,14.5,,83.5,7.570000172
5/3/2017,9:00,14.052,20.10000038,,2.203999996,,,1.129999995,,1.440000057,14.5,,84.5,7.610000134
5/3/2017,9:15,14.04,20.38999939,,2.204999924,,,1.129999995,,1.432000041,14.5,,85.59999847,7.670000076
5/3/2017,9:30,14.04,20.57999992,,2.207000017,,,1.129999995,,1.43599999,14.5,,86.40000153,7.71999979
5/3/2017,9:45,14.04,20.79999924,,2.207000017,,,1.129999995,,1.44599998,14.5,,88.30000305,7.860000134
5/3/2017,10:00,14.052,21.04000092,,2.203999996,,,1.129999995,,1.437999964,14.5,,89.09999847,7.889999866
5/3/2017,10:15,14.064,,,,,,,,,,,,
